sitename,count,avg_latitude,avg_longitude
Nogata,1,33.725,130.75
Narni,1,42.51667,12.51667
Elbogen,1,50.18333,12.73333
Rivolta de Bassi,1,45.48333,9.51667
Ensisheim,1,47.86667,7.35
Valdinoce,1,44.06667,12.1
Oliva-Gandia,1,39.0,-0.03333
Campo del Cielo,1,-27.46667,-60.58333
Castrovillari,1,39.8,16.2
Morito,1,27.05,-105.43333
Jalandhar,1,31.0,75.0
Stretchleigh,1,50.38333,-3.95
Hatford,1,51.65,-1.51667
Minamino,1,35.07833,136.93333
Sagan,1,51.53333,14.88333
Mount Vaisi,1,44.08333,6.86667
Stolzenau,1,52.53333,9.05
Fünen,1,55.33333,10.33333
Novy-Ergi,1,58.55,31.33333
Vago,1,45.41667,11.13333
Ortenau,1,48.5,8.0
Sasagase,1,34.71667,137.78333
Barcelona (stone),1,41.36667,2.16667
Schellin,1,53.35,15.05
Siratik,1,14.0,-11.0
Ploschkovitz,1,50.53333,14.11667
Steinbach,1,50.5,12.5
Rasgrad,1,43.5,26.53333
Ogi,1,33.28333,130.2
Krasnojarsk,1,54.9,91.8
Nicorps,1,49.03333,-1.43333
Hraschina,1,46.1,16.33333
Luponnas,1,46.21667,5.0
Tabor,1,49.4,14.65
Albareto,1,44.65,11.01667
Lucé,1,47.85,0.48333
Mauerkirchen,1,48.18333,13.13333
Aire-sur-la-Lys,1,50.66667,2.33333
Sena,1,41.71667,-0.05
Owrucz,1,51.33333,28.83333
Rodach,1,50.35,10.8
Toluca,1,19.56667,-99.56667
Pettiswood,1,53.53333,-7.33333
Longchang,1,29.3,105.3
Bendegó,1,-10.11667,-39.2
Sierra Blanca,1,27.15,-104.9
Eichstädt,1,48.9,11.21667
Kharkov,1,50.625,35.075
Barbotan,1,43.95,-0.05
Castel Berardenga,1,43.35,11.5
Zacatecas (1792),1,22.81667,-102.56667
Cape of Good Hope,1,-33.5,26.0
Siena,1,43.11667,11.6
Mulletiwu,1,9.33333,80.83333
Wold Cottage,1,54.13667,-0.41333
Bjelaja Zerkov,1,49.78333,30.16667
Portugal,1,38.5,-8.0
Prambanan,1,-7.56667,110.83333
Benares (a),1,25.36667,82.91667
Salles,1,46.05,4.63333
Mauritius,1,-20.0,57.0
Apt,1,43.86667,5.38333
L'Aigle,1,48.76667,0.63333
Mässing,1,48.13333,12.61667
Bocas,1,23.0,-102.0
Darmstadt,1,49.86667,8.65
High Possil,1,55.9,-4.23333
Charcas,1,23.08333,-101.01667
Misteca,1,16.8,-97.1
Asco,1,42.45,9.03333
Doroninsk,1,51.2,112.3
Bitburg,1,49.96667,6.53333
Alais,1,44.11667,4.08333
Timochin,1,54.5,35.2
Weston,1,41.26667,-73.26667
Borgo San Donino,1,44.86667,10.05
Lissa,1,50.2,14.85
Moradabad,1,28.78333,78.83333
Stannern,1,49.28333,15.56667
Red River,1,32.0,-95.0
Kikino,1,55.0,34.0
Caswell County,1,36.5,-79.25
Charsonville,1,47.93333,1.56667
Mooresfort,1,52.45,-8.33333
Brahin,1,52.5,30.33333
Santa Rosa,1,5.91667,-73.0
Berlanguillas,1,41.68333,-3.8
Kuleschovka,1,50.75,33.5
Punganaru,1,13.33333,78.95
Borodino,1,55.46667,35.86667
Chantonnay,1,46.68333,1.05
Erxleben,1,52.21667,11.25
Toulouse,1,43.6,1.4
Limerick,1,52.56667,-8.78333
Luotolax,1,61.2,27.7
Agen,1,44.21667,0.61667
Bachmut,1,48.6,38.0
Chail,1,25.36667,81.66667
Gurram Konda,1,13.78333,78.56667
Lenarto,1,49.0,21.0
Chassigny,1,47.71667,5.36667
Durala,1,30.3,76.63333
Hachi-oji,1,35.65,139.33333
Seres,1,41.05,23.56667
Slobodka,1,55.0,35.0
Zaborzika,1,50.28333,27.68333
Cambria,1,43.2,-78.8
Cape York,1,76.13333,-64.93333
Jonzac,1,45.43333,-0.45
Pohlitz,1,50.93333,12.13333
Burlington,1,42.75,-75.18333
Lixna,1,56.0,26.43333
Juvinas,1,44.71667,4.3
Angers,1,47.46667,-0.55
Épinal,1,48.18333,6.46667
Futtehpur,1,25.95,80.81667
Kadonah,1,27.08333,78.33333
Umbala,1,30.33333,76.33333
Guilford County,1,35.56667,-79.83333
Imilac,1,-24.20333,-68.80667
Botschetschki,1,51.33333,33.88333
Nobleborough,1,44.08333,-69.48333
Renazzo,1,44.76667,11.28333
Tounkin,1,51.73333,102.53333
Zebrak,1,49.88333,13.91667
Honolulu,1,21.3,-157.86667
Nanjemoy,1,38.41667,-77.16667
Yanhuitlan,1,17.53333,-97.35
Galapian,1,44.3,0.4
Mineo,1,37.28333,14.7
Pavlograd,1,48.53333,35.98333
Bialystok,1,53.1,23.2
Drake Creek,1,36.4,-86.5
Mhow,1,25.9,83.61667
Richmond,1,37.46667,-77.5
La Caille,1,43.73333,6.78333
Deal,1,40.25,-74.0
Forsyth,1,33.01667,-83.96667
Krasnoi-Ugol,1,54.03333,40.9
Bohumilitz,1,49.05,13.76667
Launton,1,51.9,-1.11667
Perth,1,56.4,-3.43333
Vouillé,1,46.63333,0.16667
Wessely,1,48.95,17.38333
Walker County,1,34.0,-87.16667
Blansko,1,49.36667,16.63333
Charwallas,1,29.48333,75.5
Okniny,1,50.83333,25.5
Lime Creek,1,31.55,-87.51667
Aldsworth,1,51.78333,-1.78333
Charlotte,1,36.16667,-87.33333
Aubres,1,44.38333,5.16667
Macau,1,-5.2,-36.66667
Mascombes,1,45.36667,1.86667
Gibeon,1,-25.5,18.0
Wichita County,1,34.06667,-98.91667
Esnandes,1,46.25,-1.1
Gross-Divina,1,49.26667,18.71667
Yonozu,1,37.75,139.0
Coahuila,1,28.7,-102.73333
Cosby's Creek,1,35.78333,-83.25
Akbarpur,1,29.71667,77.95
Chandakapur,1,20.26667,76.01667
Cold Bokkeveld,1,-33.13333,19.38333
Kaee,1,27.25,79.96667
Montlivault,1,47.63333,1.58333
Simbirsk (of P. Partsch),1,54.3,48.4
Slobodka (of P. Partsch),1,55.0,35.0
Little Piney,1,37.91667,-92.08333
Asheville,1,35.58333,-82.53333
Black Mountain,1,35.58333,-82.35
Putnam County,1,33.25,-83.25
Smithland,1,37.13333,-88.4
Cereseto,1,45.08333,8.3
Karakol,1,47.21667,81.01667
Uden,1,51.65,5.61667
Abo,1,60.43333,22.3
Carthage,1,36.26667,-85.98333
Magura,1,49.33333,19.48333
Smithville,1,35.98333,-85.85
Château-Renard,1,47.93333,2.91667
Grüneberg,1,51.93333,15.5
St. Christophe-la-Chartreuse,1,46.95,-1.5
Petropavlovsk,1,53.35,87.18333
Aumieres,1,44.33333,3.23333
Barea,1,42.38333,-2.5
Milena,1,46.18333,16.1
Myhee Caunta,1,23.05,72.63333
Babb's Mill (Troost's Iron),1,36.3,-82.88333
Bishopville,1,34.16667,-80.28333
Klein-Wenden,1,51.6,10.8
Manegaon,1,20.96667,76.1
Picote,1,41.36667,-6.23333
Utrecht,1,52.11667,5.18333
Verkhne Tschirskaia,1,48.41667,43.2
Berdyansk,1,46.75,36.81667
Cosina,1,21.16667,-100.86667
Favars,1,44.38333,2.81667
Killeter,1,54.66667,-7.66667
Ruff's Mountain,1,34.3,-81.4
Le Pressoir,1,47.16667,0.43333
Le Teilleul,1,48.53333,-0.86667
Barratta,1,-35.3,144.56667
Cape Girardeau,1,37.26667,-89.58333
Monte Milone,1,43.26667,13.35
Schönenberg,1,48.11667,10.46667
Assam,1,26.0,92.0
Deep Springs,1,36.5,-79.75
Jackson County,1,36.41667,-85.5
Netschaëvo,1,54.23333,35.15
Braunau,1,50.6,16.3
Marion (Iowa),1,41.9,-91.6
Murfreesboro,1,35.83333,-86.41667
Seeläsgen,1,52.26667,15.55
Singhur,1,18.31667,73.91667
Castine,1,44.38333,-68.75
Dharwar,1,14.88333,75.6
Marmande,1,44.5,0.15
Ski,1,59.73333,10.86667
Monroe,1,35.25,-80.5
Chesterville,1,34.7,-81.2
Fukue,1,32.7,128.85
Kesen,1,38.98333,141.61667
Shalka,1,23.1,87.3
Botetourt County,1,37.5,-79.75
Pittsburg,1,40.43333,-80.0
Salt River,1,37.95,-85.78333
Schwetz,1,53.4,18.45
Seneca Falls,1,42.91667,-76.78333
Tucson,1,31.85,-110.96667
Gütersloh,1,51.91667,8.38333
Nulles,1,41.63333,0.75
Quincay,1,46.6,0.25
Borkut,1,48.15,24.28333
Bustee,1,26.78333,82.83333
Mezö-Madaras,1,46.5,25.73333
Yatoor,1,14.3,79.76667
Chupaderos,1,27.0,-105.1
Cranberry Plains,1,37.23333,-80.73333
Mainz,1,50.0,8.26667
Rodeo,1,25.33333,-104.66667
Duruma,1,-4.0,39.5
Girgenti,1,37.31667,13.56667
Segowlie,1,26.75,84.78333
Tazewell,1,36.43333,-83.75
Union County,1,34.75,-84.0
Linum,1,52.75,12.9
Cranbourne,1,-38.1,145.3
Duel Hill (1854),1,35.85,-82.7
Emmitsburg,1,39.71667,-77.3
Madoc,1,44.5,-77.46667
Oktibbeha County,1,33.5,-89.0
Sarepta,1,48.48333,44.81667
Tabarz,1,50.88333,10.51667
Verkhne Udinsk,1,54.76667,113.98333
Avilez,1,25.0,-103.5
Bremervörde,1,53.4,9.1
Oesel,1,58.5,23.0
Petersburg,1,35.3,-86.63333
Sabetmahet,1,27.43333,82.08333
St. Denis Westrem,1,51.05,3.75
Barranca Blanca,1,-28.08333,-69.33333
Narraburra,1,-34.25,147.7
Orange River (iron),1,-30.0,25.0
Oviedo,1,43.4,-5.86667
Trenzano,1,45.46667,10.0
Denton County,1,33.0,-97.0
Fort Pierre,1,44.35,-100.38333
Hainholz,1,52.28333,8.91667
Nelson County,1,37.75,-85.5
Heredia,1,10.0,-84.1
Kaba,1,47.35,21.3
Les Ormes,1,48.35,3.25
Ohaba,1,46.06667,23.58333
Parnallee,1,9.23333,78.35
Quenggouk,1,17.76667,95.18333
Stavropol,1,45.05,41.98333
Laurens County,1,34.5,-82.03333
Locust Grove,1,33.33333,-84.1
Mincy,1,36.55,-93.1
Ausson,1,43.08333,0.58333
Kakowa,1,45.13333,21.66667
Molina,1,38.11667,-1.16667
Zmenj,1,51.83333,26.83333
Augusta County,1,38.16667,-79.08333
Joel's Iron,1,-24.0,-69.0
Trenton,1,43.36667,-88.13333
Wooster,1,40.76667,-81.95
Bethlehem,1,42.53333,-73.83333
Beuste,1,43.21667,-0.23333
Harrison County,1,38.25,-86.16667
Pampanga,1,15.08333,120.7
Tombigbee River,1,32.23333,-88.2
Alessandria,1,44.88333,8.75
Dhurmsala,1,32.23333,76.46667
Kheragur,1,26.95,77.88333
