name,1,id,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Nogata,1,16988,L6,472,Fell,860,33.725,130.75,"(33.725, 130.75)"
Narni,1,16914,Stone-uncl,,Fell,920,42.51667,12.51667,"(42.51667, 12.51667)"
Elbogen,1,7823,Iron: IID,107000,Fell,1399,50.18333,12.73333,"(50.18333, 12.73333)"
Rivolta de Bassi,1,22614,Stone-uncl,103.3,Fell,1490,45.48333,9.51667,"(45.48333, 9.51667)"
Ensisheim,1,10039,LL6,127000,Fell,1491,47.86667,7.35,"(47.86667, 7.35)"
Valdinoce,1,24146,Stone-uncl,,Fell,1495,44.06667,12.1,"(44.06667, 12.1)"
Oliva-Gandia,1,18012,Stone-uncl,,Fell,1519,39,-0.03333,"(39.0, -0.03333)"
Campo del Cielo,1,5247,Iron: IAB-MG,50000000,Found,1575,-27.46667,-60.58333,"(-27.46667, -60.58333)"
Castrovillari,1,5295,Stone-uncl,15000,Fell,1583,39.8,16.2,"(39.8, 16.2)"
Morito,1,16745,Iron: IIIAB,10100000,Found,1600,27.05,-105.43333,"(27.05, -105.43333)"
Jalandhar,1,12069,Iron,1967,Fell,1621,31,75,"(31.0, 75.0)"
Stretchleigh,1,23732,Stone-uncl,10400,Fell,1623,50.38333,-3.95,"(50.38333, -3.95)"
Hatford,1,11855,Stone-uncl,29000,Fell,1628,51.65,-1.51667,"(51.65, -1.51667)"
Minamino,1,16692,L,1040,Fell,1632,35.07833,136.93333,"(35.07833, 136.93333)"
Sagan,1,22796,Stone-uncl,,Fell,1636,51.53333,14.88333,"(51.53333, 14.88333)"
Mount Vaisi,1,16805,Stone-uncl,17000,Fell,1637,44.08333,6.86667,"(44.08333, 6.86667)"
Stolzenau,1,23726,Stone-uncl,,Fell,1647,52.53333,9.05,"(52.53333, 9.05)"
Fünen,1,10838,Stone-uncl,,Fell,1654,55.33333,10.33333,"(55.33333, 10.33333)"
Novy-Ergi,1,17934,Stone-uncl,,Fell,1662,58.55,31.33333,"(58.55, 31.33333)"
Vago,1,24143,H6,40,Fell,1668,45.41667,11.13333,"(45.41667, 11.13333)"
Ortenau,1,18033,Stone-uncl,4500,Fell,1671,48.5,8,"(48.5, 8.0)"
Sasagase,1,23187,H,695,Fell,1688,34.71667,137.78333,"(34.71667, 137.78333)"
Barcelona (stone),1,4944,OC,,Fell,1704,41.36667,2.16667,"(41.36667, 2.16667)"
Schellin,1,23457,L,7000,Fell,1715,53.35,15.05,"(53.35, 15.05)"
Siratik,1,23615,Iron: IIAB,1700,Found,1716,14,-11,"(14.0, -11.0)"
Ploschkovitz,1,18849,L5,39,Fell,1723,50.53333,14.11667,"(50.53333, 14.11667)"
Steinbach,1,23722,Iron: IVA-an,98000,Found,1724,50.5,12.5,"(50.5, 12.5)"
Rasgrad,1,22396,Stone-uncl,24700,Fell,1740,43.5,26.53333,"(43.5, 26.53333)"
Ogi,1,17994,H6,14360,Fell,1741,33.28333,130.2,"(33.28333, 130.2)"
Krasnojarsk,1,12356,Pallasite: PMG-an,700000,Found,1749,54.9,91.8,"(54.9, 91.8)"
Nicorps,1,16970,Stone-uncl,,Fell,1750,49.03333,-1.43333,"(49.03333, -1.43333)"
Hraschina,1,11916,Iron: IID,49000,Fell,1751,46.1,16.33333,"(46.1, 16.33333)"
Luponnas,1,14757,H3-5,14000,Fell,1753,46.21667,5,"(46.21667, 5.0)"
Tabor,1,23776,H5,7540,Fell,1753,49.4,14.65,"(49.4, 14.65)"
Albareto,1,453,L/LL4,2000,Fell,1766,44.65,11.01667,"(44.65, 11.01667)"
Lucé,1,14724,L6,3500,Fell,1768,47.85,0.48333,"(47.85, 0.48333)"
Mauerkirchen,1,15446,L6,19000,Fell,1768,48.18333,13.13333,"(48.18333, 13.13333)"
Aire-sur-la-Lys,1,425,Unknown,,Fell,1769,50.66667,2.33333,"(50.66667, 2.33333)"
Sena,1,23495,H4,4000,Fell,1773,41.71667,-0.05,"(41.71667, -0.05)"
Owrucz,1,18062,OC,,Fell,1775,51.33333,28.83333,"(51.33333, 28.83333)"
Rodach,1,22642,Stone-uncl,2900,Fell,1775,50.35,10.8,"(50.35, 10.8)"
Toluca,1,24018,Iron: IAB-sLL,3000000,Found,1776,19.56667,-99.56667,"(19.56667, -99.56667)"
Pettiswood,1,18804,Stone-uncl,,Fell,1779,53.53333,-7.33333,"(53.53333, -7.33333)"
Longchang,1,14695,Iron: IVA-an,158500,Found,1781,29.3,105.3,"(29.3, 105.3)"
Bendegó,1,5015,Iron: IC,5360000,Found,1784,-10.11667,-39.2,"(-10.11667, -39.2)"
Sierra Blanca,1,23587,Iron: IAB?,405,Found,1784,27.15,-104.9,"(27.15, -104.9)"
Eichstädt,1,7775,H5,3000,Fell,1785,48.9,11.21667,"(48.9, 11.21667)"
