test,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Lahoma,12432,Valid,L5,21800,Found,1963,36.38333,-98.08333,"(36.38333, -98.08333)"
Lucerne Valley 001,14725,Valid,L6,15.8,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 002,14726,Valid,LL4,5.8,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 003,14727,Valid,H6,7.5,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 004,14728,Valid,L6,37.4,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 005,14729,Valid,L6,3.1,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 006,14730,Valid,H4,26.9,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 007,14731,Valid,OC,4.8,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Monte Colina,16724,Valid,L3,116.8,Found,1963,-29.4,139.98333,"(-29.4, 139.98333)"
Mosquero,16757,Valid,H4,1800,Found,1963,35.75,-103.93333,"(35.75, -103.93333)"
Mulberry Draw,16845,Valid,L5,9716,Found,1963,35.63333,-100.13333,"(35.63333, -100.13333)"
Mulga (south),16848,Valid,H4,894,Found,1963,-30.2,126.36667,"(-30.2, 126.36667)"
Northampton,17009,Valid,Iron,353,Found,1963,42.31667,-72.63333,"(42.31667, -72.63333)"
