name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
Lahoma,12432,Valid,L5,21800,Found,1963,36.38333,-98.08333,"(36.38333, -98.08333)"
Lucerne Valley 001,14725,Valid,L6,15.8,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 002,14726,Valid,LL4,5.8,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 003,14727,Valid,H6,7.5,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 004,14728,Valid,L6,37.4,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 005,14729,Valid,L6,3.1,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 006,14730,Valid,H4,26.9,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 007,14731,Valid,OC,4.8,Found,1963,34.5,-116.95,"(34.5, -116.95)"
Monte Colina,16724,Valid,L3,116.8,Found,1963,-29.4,139.98333,"(-29.4, 139.98333)"
Mosquero,16757,Valid,H4,1800,Found,1963,35.75,-103.93333,"(35.75, -103.93333)"
Mulberry Draw,16845,Valid,L5,9716,Found,1963,35.63333,-100.13333,"(35.63333, -100.13333)"
Mulga (south),16848,Valid,H4,894,Found,1963,-30.2,126.36667,"(-30.2, 126.36667)"
Northampton,17009,Valid,Iron,353,Found,1963,42.31667,-72.63333,"(42.31667, -72.63333)"
Plainview (c),18843,Valid,OC,631,Found,1963,34.125,-101.75667,"(34.125, -101.75667)"
Salla,23110,Valid,L6,7000,Found,1963,66.8,28.45,"(66.8, 28.45)"
Talpa,23793,Valid,H6,13000,Found,1963,31.86667,-99.58333,"(31.86667, -99.58333)"
Tobe,24014,Valid,H4,5386,Found,1963,37.2,-103.58333,"(37.2, -103.58333)"
Waka,24200,Valid,H6,11875,Found,1963,36.15,-101.05,"(36.15, -101.05)"
Warburton Range,24212,Valid,Iron: IVB,56930,Found,1963,-26.28333,126.66667,"(-26.28333, 126.66667)"
Bulls Run,5163,Valid,Iron?,2250,Fell,1964,,,
Ã‡anakkale,5250,Valid,L6,4000,Fell,1964,39.8,26.6,"(39.8, 26.6)"
Chernyi Bor,5339,Valid,H4,6000,Fell,1964,53.7,30.1,"(53.7, 30.1)"
Granes,10956,Valid,L6,9000,Fell,1964,42.9,2.25,"(42.9, 2.25)"
Jiange,12086,Valid,H5,222,Fell,1964,31.91667,104.91667,"(31.91667, 104.91667)"
Muzaffarpur,16885,Valid,Iron: IAB-sHL,1245,Fell,1964,26.13333,85.53333,"(26.13333, 85.53333)"
Wolamo,24324,Valid,OC,166.4,Fell,1964,9,39,"(9.0, 39.0)"
Atwood (b),4892,Valid,OC,77,Found,1964,40.51667,-103.26667,"(40.51667, -103.26667)"
Brownfield (1964),5152,Valid,H5,4100,Found,1964,33.21667,-102.18333,"(33.21667, -102.18333)"
Changxing,5323,Valid,H5,27900,Found,1964,31.33333,121.66667,"(31.33333, 121.66667)"
Claytonville,5375,Valid,L5,15600,Found,1964,34.34667,-101.49,"(34.34667, -101.49)"
Corowa,5446,Valid,Iron: IIF,11340,Found,1964,-36,146.36667,"(-36.0, 146.36667)"
Frenchman Bay,10182,Valid,H3.5,8800,Found,1964,-30.60833,115.16667,"(-30.60833, 115.16667)"
Grassland,10959,Valid,L4,4400,Found,1964,33.11667,-101.58333,"(33.11667, -101.58333)"
Karasburg,12257,Valid,Iron: IIIAB?,12000,Found,1964,-27.66667,18.96667,"(-27.66667, 18.96667)"
Leshan,12770,Valid,Iron: IIE,344,Found,1964,29.6,103.7,"(29.6, 103.7)"
Loop (b),14703,Valid,H,1600,Found,1964,32.99167,-102.38833,"(32.99167, -102.38833)"
Loop (c),14704,Valid,OC,861,Found,1964,32.98333,-102.38833,"(32.98333, -102.38833)"
Lucerne Valley 008,14732,Valid,H4,2,Found,1964,34.5,-116.95,"(34.5, -116.95)"
Mayerthorpe,15449,Valid,Iron: IAB complex,12610,Found,1964,53.775,-115.03333,"(53.775, -115.03333)"
Mount Padbury,16785,Valid,Mesosiderite-A1,272000,Found,1964,-25.66667,118.1,"(-25.66667, 118.1)"
Mulga (north),16847,Valid,H6,19900,Found,1964,-30.18333,126.36667,"(-30.18333, 126.36667)"
Muslyumovo,16884,Valid,H4,10580,Found,1964,55.3,53.2,"(55.3, 53.2)"
Neptune Mountains,16944,Valid,Iron: IAB complex,1070,Found,1964,-83.25,-55,"(-83.25, -55.0)"
Plains,18839,Valid,H5,34300,Found,1964,33.28333,-102.76667,"(33.28333, -102.76667)"
Pomozdino,18863,Valid,Eucrite-cm,327,Found,1964,62.2,54.16667,"(62.2, 54.16667)"
San Luis,23129,Valid,H,,Found,1964,-33.33333,-66.38333,"(-33.33333, -66.38333)"
Sargiin Gobi,23179,Valid,Iron: IAB complex,17500,Found,1964,45.9835,105.75883,"(45.9835, 105.75883)"
Stratton,23730,Valid,OC,121,Found,1964,39.22167,-102.59,"(39.22167, -102.59)"
Sutton,23763,Valid,H5,7600,Found,1964,40.6,-97.86667,"(40.6, -97.86667)"
Wellman (b),24238,Valid,OC,343,Found,1964,33.025,-102.41667,"(33.025, -102.41667)"
Wellman (c),24239,Valid,H4,45000,Found,1964,33.03333,-102.33333,"(33.03333, -102.33333)"
Yingde,30363,Valid,Iron: IVA,3000000,Found,1964,24.2,113.4,"(24.2, 113.4)"
Barwell,4954,Valid,L5,44000,Fell,1965,52.56528,-1.33972,"(52.56528, -1.33972)"
Conquista,5418,Valid,H4,20350,Fell,1965,-19.85,-47.55,"(-19.85, -47.55)"
Revelstoke,22592,Valid,CI1,1,Fell,1965,51.33333,-118.95,"(51.33333, -118.95)"
Taonan,23873,Valid,L5,3850,Fell,1965,45.4,122.9,"(45.4, 122.9)"
Anton,2311,Valid,H4,41800,Found,1965,33.7825,-102.18111,"(33.7825, -102.18111)"
Bocaiuva,5092,Valid,Iron: ungrouped,64000,Found,1965,-17.16667,-43.83333,"(-17.16667, -43.83333)"
Burnabbie,5173,Valid,H5,2515,Found,1965,-32.05,126.16667,"(-32.05, 126.16667)"
Catherwood,5298,Valid,L6,3920,Found,1965,51.965,-107.43833,"(51.965, -107.43833)"
Del Rio,6639,Valid,Iron: IIF,3596,Found,1965,29.36667,-100.96667,"(29.36667, -100.96667)"
Dingo Pup Donga,7647,Valid,Ureilite,122.7,Found,1965,-30.43333,126.1,"(-30.43333, 126.1)"
Erie,10045,Valid,L6,3300,Found,1965,40.03167,-105.05667,"(40.03167, -105.05667)"
Etter,10062,Valid,L5,450000,Found,1965,35.98333,-101.9,"(35.98333, -101.9)"
Eva,10066,Valid,H5,6700,Found,1965,36.81667,-101.90833,"(36.81667, -101.90833)"
Ferintosh,10090,Valid,OC,2201,Found,1965,52.8,-112.98333,"(52.8, -112.98333)"
Guangyuan,11438,Valid,Iron,,Found,1965,32.4,105.9,"(32.4, 105.9)"
Hamilton (Texas),11484,Valid,OC,2700,Found,1965,31.59333,-98.25,"(31.59333, -98.25)"
Hautes Fagnes,52854,Valid,LL5,185,Found,1965,50.58333,6.16667,"(50.58333, 6.16667)"
Hebron,11867,Valid,H6,21820,Found,1965,40.16667,-97.6,"(40.16667, -97.6)"
Hejing,11871,Valid,Iron,,Found,1965,42.4,86.3,"(42.4, 86.3)"
Johnny's Donga,12196,Valid,Unknown,,Found,1965,-30.33333,126.36667,"(-30.33333, 126.36667)"
Kabakly,12219,Valid,H4,71.6,Found,1965,39.76667,62.51667,"(39.76667, 62.51667)"
Kaffir (a),12223,Valid,L5,1874.9,Found,1965,34.62333,-101.91667,"(34.62333, -101.91667)"
Kapunda,12254,Valid,Iron: IIIAB,542,Found,1965,-34.31667,138.93333,"(-34.31667, 138.93333)"
Kinley,12319,Valid,L6,2000,Found,1965,52.04667,-107.23333,"(52.04667, -107.23333)"
Kyle,12389,Valid,L6,7780,Found,1965,29.975,-97.86667,"(29.975, -97.86667)"
Little River (b),14666,Valid,H4/5,11700,Found,1965,38.44,-98.06667,"(38.44, -98.06667)"
Lone Star,14682,Valid,H4,4300,Found,1965,34.25972,-101.40833,"(34.25972, -101.40833)"
Lucerne Valley 009,14733,Valid,H4,3,Found,1965,34.5,-116.95,"(34.5, -116.95)"
Lucerne Valley 010,14734,Valid,H4,6.4,Found,1965,34.5,-116.95,"(34.5, -116.95)"
McCook,15459,Valid,L6,3602,Found,1965,40.02,-100.78333,"(40.02, -100.78333)"
Monturaqui,16731,Valid,Iron: IAB?,2000,Found,1965,-23.93333,-68.28333,"(-23.93333, -68.28333)"
Moorabie,16735,Valid,L3.8-an,14040,Found,1965,-30.01667,141.06667,"(-30.01667, 141.06667)"
New York,55760,Valid,Iron: IIIAB,2950,Found,1965,0,0,"(0.0, 0.0)"
Norristown,16997,Valid,Iron: IIIAB,4200,Found,1965,32.51667,-82.55,"(32.51667, -82.55)"
Pannikin,18097,Valid,L6,13.6,Found,1965,-32.04167,126.18333,"(-32.04167, 126.18333)"
Post,18877,Valid,L,2000,Found,1965,33.11667,-101.38333,"(33.11667, -101.38333)"
River,22612,Valid,L5,190.5,Found,1965,-30.36667,126.01667,"(-30.36667, 126.01667)"
Seminole (b),23489,Valid,H4,1184,Found,1965,32.54333,-102.705,"(32.54333, -102.705)"
Severny Kolchim,23507,Valid,H3,1390,Found,1965,60.5,57,"(60.5, 57.0)"
Southern Michigan,23684,Valid,Iron,49,Found,1965,,,
Springer,23688,Valid,H5,8143,Found,1965,36.34611,-97.185,"(36.34611, -97.185)"
St. Lawrence,23088,Valid,LL6,2600,Found,1965,31.73333,-101.505,"(31.73333, -101.505)"
Thurman,23980,Valid,OC,1959,Found,1965,39.52167,-103.16667,"(39.52167, -103.16667)"
Tierra Blanca,23988,Valid,Winonaite,860,Found,1965,34.93333,-102.01667,"(34.93333, -102.01667)"
Tishomingo,24010,Valid,Iron: ungrouped,260000,Found,1965,34.25,-96.68333,"(34.25, -96.68333)"
Verissimo,24163,Valid,Iron: IIIAB,14000,Found,1965,-19.73333,-48.31667,"(-19.73333, -48.31667)"
